,,,,,,,,,,,,,,,,,,,Monthly Spending Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,J,A,S,O,N,D,J,F,M,A,M,J,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.41486,03, 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.45770,04, 200 , 200 , 200 , 200 , 200 , 200 , 50 , 50 , 50 , 23 , 58 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.55972,02," 5,400 "," 5,400 "," 5,400 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57236,01, 600 , 600 , 600 , 600 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57236,01,,,, -   , 600 , 600 , 169 , 169 , 169 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57240,02, 203 , 203 , 203 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57241,02, 503 , 503 , 503 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57243,04," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57244,01, 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , 38 , 38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57247,01, 375 , 375 , 375 , 375 , 375 , 375 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57248,01,,,,,, 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57249,01, 150 , 150 , 150 , 150 , 150 , 30 , 30 , 30 , 30 , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57250,01, 150 , 150 , 150 , 150 , 150 , 150 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57252,02," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57253,01, -   , -   , -   , -   , 270 , 270 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57254,01,,," 2,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57254,01," 1,800 "," 1,800 ", -   ," 1,000 ", 500 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57255,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57256,01,,, 600 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57256,01, 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57257,01," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57258,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57259,03, 125 , 125 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.57261,04, 150 , 150 , 150 , 150 , 150 , 150 , 150 , 150 , 150 , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.60684,01, 300 , 300 , 300 , 300 , 300 , 450 , 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.60685,01, 200 , 200 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.62669,03, -   ," 1,400 "," 1,400 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.66194,01,,,,, -   , 250 , 378 , 378 , 150 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07199,01,,,,,, 100 , 100 , 150 , 150 , -   , 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.67624,03,,,,,,,,, 300 , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.77614,04,,,,,,,,, 250 , -   , -   , 208 , 208 ,,,,,,,,,, -   , -   , 208 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04,,,,,,,,,, 206 , 130 , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.XXXXX,02," 2,000 "," 2,000 "," 1,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.XXXXX,01,, 315 , 315 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,02, 500 , 500 , 500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,02," 2,000 "," 2,000 "," 2,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,01,, -   , 100 , 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,02, 500 , 500 , 500 , 500 , 500 , 500 , 500 , 500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,N/A,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category A,A.03325,01,,,, -   , (0), (0), (0), 2 , 2 , 2 , 2 , 2 , 2 , -   , (0), -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category A,A.03379,01, 238 , 238 , 250 , 250 , 251 , 260 , 135 , 130 , 130 , 130 , 130 , 130 , 130 , 7 , 6 , 22 , 9 , 6 , 81 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category C,A.03390,01,,,, -   , (0), (0), (0), (0), (0), (0), (0), (0), (0), -   , (0), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category C,A.03471,02, 129 , 146 , 146 , 146 , 147 , 147 , 147 , 147 , 158 , 158 , 158 , 104 , 104 , 27 , 2 , (26), 29 , 3 , 16 , 2 , 1 , 2 , -   , 30 , 20 ,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market E,Plant B,Category C,A.03541,01, 464 , 454 , 454 , 454 , 436 , 436 , 455 , 457 , 432 , 419 , 418 , 402 , 402 , 4 , 81 , 24 , (55), 40 , 57 , 22 , 22 , 10 , 51 , 91 , 54 ,,,,,,,,,,,,,,,,,,,,,,
2020-01,Market E,Plant B,Category A,A.03648,02, 502 , 509 , 509 , 509 , 508 , 508 , 501 , 502 , 502 , 501 , 501 , 512 , 512 , -   , 53 , 12 , 217 , 14 , 57 , 17 , 42 , 15 , 12 , 65 , 7 ,,,,,,,,,,,,,,,,,,,,,,
2020-03,Market E,Plant B,Category A,A.03712,02," 1,896 "," 1,896 "," 1,896 "," 1,905 "," 1,906 "," 1,906 "," 1,906 "," 1,289 "," 1,772 "," 1,525 "," 1,525 "," 1,524 "," 1,524 ", 54 , 75 , 78 , 84 , 39 , 209 , 16 , 116 , 297 , 171 , 231 , 154 ,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market E,Plant B,Category C,A.03761,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market E,Plant B,Category C,A.03761,02, 640 , 686 , 686 , 686 , 685 , 686 , 551 , 554 , 554 , 550 , 544 , 561 , 561 , -   , -   , 31 , 5 , 200 , 26 , 66 , 57 , 14 , 76 , 50 , 34 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,A.03813,02," 1,859 "," 1,859 "," 1,859 "," 1,859 "," 1,859 "," 1,782 "," 1,721 "," 1,721 "," 1,645 "," 1,379 "," 1,531 "," 1,524 "," 1,524 ", -   , 26 , -   , 108 , 3 , 192 , 41 , 120 , 528 , 297 , 137 , 72 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,A.03813,02,,,,,,,,,,, 345 , 345 , 345 , 2 , -   , -   , -   , -   , 343 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,A.03813,02,,,,,,,,,,, (479), (479), (479), -   , -   , -   , -   , -   , -   , (479), -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.05540,03,,,, -   , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,B.06056,01,,, -   , 23 , 23 , 23 , 17 , 17 , 17 , 23 , 23 , 23 , 23 , -   ," 1,204 ", -   , -   , -   , -   , -   , -   ," (1,181)", -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category F,B.06383,03,, 35 , 35 , 25 , 27 , 16 , 31 , 14 , 15 , 27 , 32 , 31 , 31 , 8 , 13 , (7), (0), (1), 1 , 1 , 12 , 4 , 0 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category F,B.06385,04,,, 47 , 47 , 46 , 46 , 52 , 2 , 3 , 5 , 9 , 9 , 9 , 2 , -   , (1), (0), 1 , -   , 1 , 2 , 4 , 0 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category A,B.06387,01,,, 16 , 16 , 16 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 16 , -   , -   , 1 , -   , -   , -   , -   , 0 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.06732,03,,,, -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0.8 , 1 , -   , 1 , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market E,Plant B,Category F,B.06824,03,,,, -   , (6), 5 , 28 , 35 , 35 , 37 , 37 , 37 , 37 , (6), -   , 10 , 23 , 2 , 5 , 2 , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category F,B.06827,03, 487 , 455 , 455 , 548 , 544 , 595 , 531 , 496 , 484 , 526 , 557 , 603 , 603 , 24 , 52 , 170 , 52 , 56 , 9 , 34 , 37 , 65 , 4 , 50 , 50 ,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market E,Plant B,Category A,B.06829,04, 27 , 27 , 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
