,,,,,,,,,,,,,,,,,,,Monthly Spending Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,J,A,S,O,N,D,J,F,M,A,M,J,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market F,Plant E,Category C,A.03760,01," 1,362 "," 1,362 "," 1,357 "," 1,357 "," 3,690 "," 3,690 "," 3,690 "," 2,419 "," 2,180 "," 1,689 "," 1,656 "," 1,748 "," 1,748 ", -   , -   , 48 , (1), 32 , 290 , 8 , 78 , 381 , 64 , 48 , 801 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,A.03836,03,,, 808 , 808 , 824 , 824 , 824 , 789 , 795 , 515 , 501 , 484 , 484 , -   , -   , -   , -   , 0 , 13 , 4 , -   , 78 , 381 , 0 , 7 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,A.03866,02," 1,458 "," 1,458 "," 1,392 "," 1,392 "," 1,392 "," 1,392 "," 1,392 ", 900 , 906 , 921 ," 1,200 "," 1,152 "," 1,152 ", -   , -   , -   , -   , -   , 5 , 43 , -   , -   , 94 , -   ," 1,009 ",,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,A.03868,04," 1,000 "," 1,000 ", 720 , 810 , 827 , 500 , 495 , 429 , 429 , 385 , 364 , 344 , 344 , -   , -   , -   , -   , 10 , 207 , 12 , 82 , 11 , 10 , -   , 13 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,A.03886,01," 2,000 "," 3,000 "," 3,701 "," 3,701 "," 2,610 "," 2,610 ", -   , 44 , 43 , 45 , 45 , 45 , 45 , -   , -   , -   , -   , 2 , 217 ,0, (174), -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,A.03889,04, 360 , 360 , 360 , 990 ," 1,080 "," 1,080 "," 1,080 "," 1,098 ", 650 , 368 , 349 , 346 , 346 , -   , -   , -   , -   , -   , 1 , -   , 38 , 214 , 17 , 52 , 24 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,A.03897,01,,, -   ," 2,000 "," 3,300 "," 3,300 "," 3,300 "," 3,357 "," 3,375 "," 2,415 "," 2,553 "," 2,702 "," 2,702 ", -   , -   , -   , -   , 118 , 5 , 34 , 537 , 461 , 315 , 429 , 803 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,A.03918,01, 800 , 800 ," 1,000 "," 1,000 "," 1,000 ", 990 , 990 ," 1,007 ", 600 , 358 , 358 , 346 , 346 , -   , -   , -   , -   , -   , 28 , -   , -   , 45 , 87 , 92 , 94 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,A.03923,04, 800 , 800 , 800 , 800 , 800 ," 1,500 "," 1,500 "," 1,525 "," 1,536 "," 1,536 "," 1,949 "," 1,969 "," 1,969 ", -   , -   , -   , -   , -   , -   , -   , -   , 52 , 33 , 470 ," 1,414 ",,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,A.03927,01, 750 , 750 , 750 , 750 , 750 , 750 , 750 , 750 , 750 , 13 , 13 , 14 , 14 , -   , -   , -   , -   , -   , -   , -   , 22 , 17 , 12 , (37), -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,A.03943,02,, -   , -   , -   , -   , -   , 900 , 915 ," 1,066 ", 754 , 756 , 840 , 840 , -   , -   , -   , -   , -   , -   , -   , 187 , 119 , 1 , 443 , 89 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,A.03947,02,,,,,, 400 , 423 , 423 , 423 , (67), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,A.03948,04,,,,,," 11,160 "," 11,160 "," 6,219 "," 6,210 "," 3,816 "," 4,124 "," 4,047 "," 4,047 ", -   , -   , -   , -   , -   , -   , -   , 445 , 96 ," 1,713 ", 70 ," 1,722 ",,,,,,,,,,,,,,,,,,,,,,
2019-09,Market F,Plant E,Category F,B.06813,03,,, 337 , 337 , 368 , 324 , 324 , 376 , 211 , 81 , 188 , 188 , 188 , 14 , 50 , 20 , 25 , 15 , 62 , -   , -   , 3 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market F,Plant E,Category F,B.06814,03,,, 227 , 227 , 189 , 189 , 189 , 191 , 133 , 133 , 133 , 133 , 133 , 16 , 7 , -   , -   , 110 , 0 , -   , -   , -   , (0), -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-12,Market F,Plant E,Category F,B.06816,03,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category F,B.06818,04, -   , -   , 290 , 290 , 304 , 304 , 304 , 308 , 308 , 300 , 296 , 284 , 284 , -   , 17 , 30 , 5 , 30 , 32 , 12 , 39 , 53 , 64 , 3 , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-02,Market F,Plant E,Category F,B.06819,04, -   , -   , 172 , 172 , 172 , 172 , 172 , 172 , 172 , 172 , 172 , 172 , 172 , 172 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market F,Plant E,Category D,B.06822,01, 381 , 381 , 380 , 380 , 388 , 388 , 320 , 320 , 320 , 320 , 320 , 321 , 321 , 18 , 45 , 214 , 12 , 7 , -   , -   , -   , -   , -   , 25 , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,B.07183,03," 2,288 "," 2,288 "," 1,527 "," 1,260 "," 1,326 "," 1,326 "," 1,326 "," 1,828 "," 2,564 "," 2,303 "," 1,940 "," 1,888 "," 1,888 ", -   , 20 , 1 , -   , 70 , 235 , 79 , 72 , 239 , 197 , 590 , 385 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,B.07184,03,,, 371 , 459 , 468 , 468 , 468 , 700 , 705 , 967 ," 1,325 "," 1,498 "," 1,498 ", -   , -   , -   , 17 , 54 , 54 , 146 , 68 , 9 , 7 , 138 ," 1,006 ",,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,B.07185,03,,,,,,,,, -   , 97 , 94 , 104 , 104 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 100 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,B.07188,04,, -   , 400 , 400 , 400 , 400 , 249 , 254 , 254 , 86 , 223 , 223 , 223 , -   , -   , -   , -   , -   , 0 , 21 , 0 , 187 , -   , 14 , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,B.07189,04,,,,,,, 151 , 153 , 153 , 149 , 145 , 139 , 139 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 138 , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,B.07217,02, 450 , 450 , 360 , 99 , 113 , 113 , 113 , 113 , 113 , 102 , 101 , 101 , 101 , -   , -   , -   , -   , 1 , 43 , 10 , -   , 47 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,B.07219,01, 122 , 122 , 108 , 108 , 108 , 108 , 50 , 312 , 260 , 261 , 254 , 223 , 223 , -   , -   , -   , -   , -   , 32 , 0 , 0 , 11 , -   , 159 , 21 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,B.07219,01,,,,, -   , 203 , 260 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.16667,03, 90 , 90 , 90 , 90 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.16775,03, 550 , 550 , 420 , 420 , 420 , 180 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.24930,03, 125 , 125 , 125 , 125 , 125 , 125 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,FB.50709,03, 810 , 810 , 186 , 186 , 186 , 186 , 186 , 500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58291,02," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ", -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58292,04," 2,500 "," 2,500 "," 2,500 "," 2,500 ", 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58295,04, 400 , 400 , 400 , 400 , 400 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58297,02, 300 , 300 , 300 , 300 , 300 , 300 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58298,02, 113 , 113 , 113 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58299,04, 90 , 90 , 90 , 90 , 90 , 90 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58369,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58370,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58371,01," 1,700 "," 1,700 "," 1,350 ", 500 , 500 , 500 ," 1,000 ", 600 , 375 , 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58372,01," 1,500 "," 1,500 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58373,04, 500 , 500 , 925 , 925 , 925 , 925 , -   , 90 , -   , -   , 180 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 150 ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58373,04,,,,,,, 900 , 495 , 153 , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58375,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58376,01, 425 , 425 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58378,01, 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58386,02," 8,700 "," 8,700 "," 8,700 "," 4,000 "," 4,000 ", -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58387,01, 100 , 100 , 100 , 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58388,01, 300 , 300 , 300 , 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58389,01, 50 , 50 , 50 , 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58390,01, 150 , 150 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58391,01, 100 , 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.58392,01, 50 , 50 , 50 , 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58683,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.58683,03, 35 , 35 , 35 , 35 , 35 , 35 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.60686,01, 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , 44 , 44 , 48 , 48 ,,,,,,,,,, -   , 48 , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,FB.64663,03,,," 1,080 "," 1,080 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,FB.64700,04, 704 , 704 , 648 , 648 , 648 , 280 , 280 , 210 , 101 , 100 , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,FB.64701,04, 270 , 270 , 315 , 315 , 315 , 250 , 250 , 140 , 70 , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.64707,02, -   , -   , 450 , 450 , 450 , 450 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.66682,02,,,,,,, 180 , 180 , 180 , 35 , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.66948,01,,,,,,,, 600 , 200 , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,N/A,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category E,N/A,04,,,,," 1,000 ", 800 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,01," 3,500 "," 3,500 "," 3,500 "," 2,000 ", -   ," 2,000 "," 1,500 ", -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category F,N/A,04, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category B,N/A,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category D,N/A,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category C,N/A,01,,,,," 2,025 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market F,Plant E,Category E,N/A,04," 5,000 "," 5,000 "," 5,000 "," 5,000 "," 5,000 "," 5,000 "," 2,500 ", 500 , 500 , 500 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,," 149,903 "," 145,537 "," 138,319 "," 116,834 "," 114,176 "," 107,034 "," 89,325 "," 75,868 "," 73,813 "," 59,589 "," 59,907 "," 59,309 "," 59,309 "," 1,919 "," 4,350 "," 5,187 "," 3,242 "," 3,621 "," 6,364 "," 2,240 "," 3,236 "," 5,361 "," 4,834 "," 6,368 "," 12,589 ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
