,,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,, -   , -   , -   ,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,, J , A , S , O , N , D , J , F , M , A , M , J ,,,,,,
,Market E,Plant A,Category F,FB.84898,04,, 162 , 162 , 162 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.25153,03, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,FB.33158,04,,,,,, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,B.07559,01, 306 , 473 , 525 , 525 , 525 , 525 , 525 , 347 , 348 , 345 , 321 , 314 , 314 ,, 1 , 1 , 74 , 35 , 2 , 25 , 9 , 41 , 133 , (6), -   , -   ,,,,,,
,Market E,Plant A,Category C,B.08031,01, 250 , 250 , 250 , 250 , 450 , 450 , 450 , 90 , 90 , 169 , 49 , 95 , (125),, -   , -   , (4), -   , -   , -   , -   , -   , 54 , -   , (175), -   ,,,,,,
,Market E,Plant B,Category A,FB.52314,04, 150 , 150 , 150 , 100 , 100 , 150 , 150 , 50 , 50 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58401,04, 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.51083,04, 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.51083,04, 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.61069,04, 150 , 150 , 150 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84888,01, 150 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.87949,04,, 145 , 145 , 145 , 145 , 145 , 145 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
