,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, FIRM , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun , J , A , S , O , N , D , J , F , M ,A,M,J,
2019-07,Market E,Plant B,Category F,B.06385,04,,,,,,,,, (0), (0), (0), (0), (0), -   , -   , -   , -   , -   , -   , (0),, -   , -   , -   , -   ,
2019-07,Market E,Plant B,Category F,B.06827,03,,, 17 , 41 , 43 , 43 , 42 , 42 , 42 , 42 , 42 , 42 , 42 , 17 , 11 , 14 , -   , (0), -   , -   ,, -   , -   , -   , -   ,
,Market E,Plant B,Category F,B.07155,03,,,,,,,,,,,, (0), (0),,,,,,,,, (0), -   , -   ,,
,Market E,Plant B,Category A,B.07209,02, 56 , 42 , 36 , 36 , 26 , 45 , 46 , 44 , 32 , 32 , 27 , 30 , 30 , 3 , 5 , 0 , 20 , 1 , 1 , (4),, -   , 2 , -   , -   ,
,Market E,Plant B,Category C,B.07210,01, -   , 184 , 184 , 186 , 182 , 184 , 182 , 181 , 179 , 115 , 149 , 100 , 77 , -   , 14 , 38 , 3 , 20 , 3 , 4 , 0 , (10),, 0 , 4 ,
,Market E,Plant B,Category F,B.07213,03, 233 , 394 , 396 , 397 , 393 , 389 , 345 , 288 , 268 , 266 , 266 , 267 , 258 , 54 , 18 , 4 , 33 , 2 , 42 , 5 , 21 , 31 , 3 , 35 , 9 ,
,Market E,Plant B,Category F,B.07214,03, 473 , 710 , 572 , 572 , 599 , 599 , 619 , 749 , 712 , 766 , 590 , 599 , 576 , 58 , 9 , 38 , 30 , 15 , 174 , 11 , 82 , 79 , 9 , 27 , 43 ,
,Market E,Plant B,Category F,B.07216,04, 55 , 108 , 109 , 103 , 105 , 107 , 137 , 105 , 109 , 116 , 107 , 107 , 107 , -   , 2 , 31 , 12 , 30 , 23 , 4 , 4 , -   , (0), -   , 3 ,
,Market E,Plant B,Category A,B.07559,01,,,,,, -   , 81 , 81 , 177 , 215 , 167 , 93 , 95 , -   , -   , -   , -   , 0 , 3 , 23 , 11 , 28 , 1 , 8 , 20 ,
,Market E,Plant B,Category A,B.07559,01,,, 30 , 54 , 72 , 72 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,
,Market E,Plant B,Category C,B.07560,01,,,,,,, -   , 63 , 63 , 27 , 30 , 51 , 101 , -   , -   , -   , -   , -   , -   ,,, -   , 2 , 50 , 49 ,
,Market E,Plant B,Category F,B.07563,03," 1,543 "," 1,170 "," 1,267 "," 1,267 ", 520 , 520 , 521 , 526 , 524 , 233 , 280 , 236 , 182 , -   , -   , -   , -   , -   , -   , -   , 93 , 32 , 33 , 19 , 5 ,
,Market E,Plant B,Category F,B.07564,03,,,, -   , 974 ," 1,014 "," 1,275 "," 1,281 "," 1,284 ", 851 , 712 , 651 , 612 , -   , -   , 7 , 5 , 11 , 14 , 24 , 25 , 35 , 61 , 38 , 393 ,
,Market E,Plant B,Category F,B.07565,04," 1,738 "," 1,320 "," 1,738 "," 1,738 "," 1,775 "," 1,796 ", 775 , 375 , 373 , 215 , 220 , 213 , 213 , -   , -   , -   , -   , -   , 61 , -   ,, -   , 127 , 19 , 6 ,
,Market E,Plant B,Category F,B.07566,04,, 400 , -   , -   , 600 , 636 , 757 , 301 , 308 , 120 , 216 , 162 , 162 , -   , -   , -   , -   , -   , -   , -   , 33 , 65 , 10 , -   , 54 ,
,Market E,Plant B,Category C,FB.25153,03, 35 , 35 , 35 , 35 , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category F,FB.31185,03, 56 , 56 , 56 , 56 , 56 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category C,FB.33154,04, 135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category C,FB.50721,04, 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category C,FB.51079,01, 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category A,FB.52314,01,, 15 , 200 , 54 , 270 , 405 , 99 , 78 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant B,Category A,FB.54066,01,, 75 , 113 , 360 , 135 , -   , -   , 78 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   ,,,,,,
,Market E,Plant B,Category C,FB.56295,01,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category A,FB.58395,04, 108 , 108 , 108 , 108 , 18 , 18 , 18 , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,
,Market E,Plant B,Category C,FB.58398,04,,,,,, 450 , 450 , 450 , 450 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04," 1,183 ", 600 , 600 , 600 , 500 , 500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category A,FB.58401,01, 400 , 400 , 400 , 400 , 400 , 400 , 200 , 200 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category A,FB.58403,01, 150 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,Market E,Plant B,Category C,,01,,,,,,,,,,,, -   , 61 ,,,,,,,,,,, 61 ,,
,Market E,Plant B,Category C,,02,,,,,,,,,,,, 200 , 200 ,,,,,,,,,,, -   , 200 ,
,Market E,Dummy,Category F,FB.24921,04, 900 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
