,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm ,, Jul ,, Aug ,, Sep ,, Oct ,, Nov ,, Dec ,, Jan ,, Feb ,, Mar ,, Apr ,, May ,, Jun ,, J , A , S , O , N , D , J , F , M , A , M , J 
2023-07,Market F,Plant E,Category C,A.04375,04, 531 ,, 531 ,, 531 ,, 361 ,, 361 ,, 350 ,, 350 ,, 353 ,, 355 ,, 327 ,, 320 ,, 326 ,,326,355.588,0,21.163,-0.043,10.043,58.905,212.302,6.741,0.503,7.069,0,38.905,0
2023-07,Market F,Plant E,Category F,A.04044,04, 367 ,, 367 ,, 367 ,, 292 ,, 292 ,, 282 ,, 282 ,, 285 ,, 289 ,, 289 ,, 283 ,, 282 ,,282,296.751,33.987,43.603,25.041,9.142,0.351,56.364,18.192,10.312,77.744,22.015,,
2023-07,Market F,Plant E,Category F,A.03948,04, 310 ,, 310 ,, 310 ,, 509 ,, 509 ,, 501 ,, 501 ,, 501 ,, 503 ,, 496 ,, 500 ,, 501 ,,501,503.385,31.745,,,80.358,329.214,,0,,62.068,,,0
2023-11,Market F,Plant E,Category D,B.08509,04, -   ,, 378 ,, 378 ,, 378 ,, 378 ,, 373 ,, 373 ,, 259 ,, 269 ,, 318 ,, 300 ,, 300 ,,300,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,A.04167,01, 315 ,, 315 ,, 315 ,, 223 ,, 223 ,, 218 ,, 218 ,, 218 ,, 219 ,, 218 ,, 218 ,, 218 ,,218,218.231,17.821,18.254,26.927,37.301,82.186,4.899,15.941,14.902,,,,
2023-07,Market F,Plant E,Category B,B.07538,03, 37 ,, 37 ,, 37 ,, 37 ,, 37 ,, 32 ,, 32 ,, 33 ,, 34 ,, 33 ,, 32 ,, 32 ,,32,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category B,B.08040,01, 180 ,, 160 ,, 155 ,, 155 ,, 155 ,, 151 ,, 151 ,, 152 ,, 156 ,, 107 ,, 105 ,, 105 ,,105,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,B.08010,03, 77 ,, 77 ,, 77 ,, 87 ,, 87 ,, 84 ,, 84 ,, 85 ,, 86 ,, 86 ,, 86 ,, 86 ,,86,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category D,A.04311,01, 180 ,, 180 ,, 180 ,, 92 ,, 92 ,, 90 ,, 90 ,, 90 ,, 91 ,, 89 ,, 86 ,, 86 ,,86,91.104,,8.832,-11.962,,60.772,11.207,12.342,0.462,,9.451,,
2023-07,Market F,Plant E,Category B,A.04010,04, 129 ,, 129 ,, 129 ,, 75 ,, 75 ,, 73 ,, 73 ,, 73 ,, 73 ,, 73 ,, 73 ,, 73 ,,73,73.014,0.662,30.326,0,15.813,0,20.845,0,5.368,,,,
2023-07,Market F,Plant E,Category D,A.04281,04, 32 ,, 32 ,, 32 ,, 37 ,, 37 ,, 36 ,, 36 ,, 35 ,, 35 ,, 32 ,, 32 ,, 33 ,,33,34.557,0,1.361,0,0,22.004,0,0,8.705,0,2.487,0,0
2023-07,Market F,Plant E,Category C,A.04414,04," 1,080 ",," 1,080 ",," 1,080 ",," 1,080 ",," 1,080 ",," 1,080 ",," 1,080 ",, 765 ,, 758 ,, 734 ,, 716 ,, 713 ,,713,756.776,0,59.501,0.987,72.266,15.335,42.839,177.655,37.81,14.138,343.154,0,-6.909
2024-03,Market F,Plant E,Category C,A.04617 ,01, 525 ,, 525 ,, 350 ,, 350 ,, 350 ,, 350 ,, 350 ,, 135 ,, 405 ,, 324 ,, 297 ,, 297 ,,297,405,,,,,,,,,,,,405
,Market F,Plant E,Category D,FB.50713,04, 500 ,, 500 ,, 500 ,, 500 ,, 500 ,, 500 ,, 500 ,, 500 ,, 500 ,, -   ,, -   ,, -   ,,0,350,,,,,,,,,,,,350
,Market F,Plant E,Category D,FB.16645,01, 450 ,, 450 ,, 450 ,, 450 ,, 450 ,, 450 ,, 450 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.45697,04, 200 ,, 200 ,, 200 ,, 200 ,, 200 ,, 200 ,, 200 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,A.04037,02, 117 ,, 117 ,, 117 ,, 102 ,, 102 ,, 102 ,, 102 ,, 102 ,, 102 ,, 102 ,, 102 ,, 102 ,,102,101.918,,101.837,0.081,,,,,,,,,
,Market F,Plant E,Category C,FB.32371,01, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 270 ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.16611,01, 160 ,, 160 ,, 160 ,, 160 ,, 160 ,, 160 ,, 160 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,A.03760,01, 48 ,, 48 ,, 48 ,, 82 ,, 82 ,, 82 ,, 82 ,, 82 ,, 82 ,, 86 ,, 82 ,, 82 ,,82,81.575,,,65.687,15.888,,,,,,,,
2023-07,Market F,Plant E,Category C,A.03927,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.36551,01, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.24998,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.64701,01, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.50669,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,02, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,02, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category B,A.04052,04, 311 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, 6 ,, 77 ,, 71 ,, 71 ,,71,77,,,6,,,,,,,,,71
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.XXXX,01,,,,,,,,,,,,,,, 75 ,, 75 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category D,A.04042,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,FB.16607,04, 600 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.16651,04, 175 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,FB.16651,04, 203 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,04, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
